GO:0000747	A
GO:0140084	B
GO:0019953	C
GO:0007120	D
GO:0007121	E
GO:0007114	F
GO:0034297	G
GO:0001410	H
GO:0075239	I
GO:0075289	J
GO:0034300	K
GO:0034301	L
GO:0034302	M
GO:0034303	N
GO:0034304	O
GO:0075247	P
GO:0075251	Q
GO:0075255	R
GO:0043936	S
GO:0034298	T
GO:0034299	U
GO:0048315	V
GO:0075284	W
GO:0075321	X
GO:0030436	Y
GO:0048624	Z
GO:0097736	BA
GO:0097738	BB
GO:0019954	BC
GO:0032504	BD
GO:0032505	BE
GO:0061887	BF
GO:0000003	BG
GO:0001788	BH
GO:0002419	BI
GO:0001913	BJ
GO:0002420	BK
GO:0042267	BL
GO:0070945	BM
GO:0070946	BN
GO:0070944	BO
GO:0070947	BP
GO:0070943	BQ
GO:0070942	BR
GO:0090634	BS
GO:0001909	BT
GO:0019836	BU
GO:0052331	BV
GO:0044179	BW
GO:0001897	BX
GO:0051838	BY
GO:0051801	BZ
GO:0051715	CA
GO:0039634	CB
GO:0039640	CC
GO:0044660	CD
GO:0044659	CE
GO:0044696	CF
GO:0039633	CG
GO:0001907	CH
GO:0051873	CI
GO:0051883	CJ
GO:0031640	CK
GO:0097278	CL
GO:0001906	CM
GO:0001780	CN
GO:0001922	CO
GO:0001782	CP
GO:0002261	CQ
GO:0043029	CR
GO:0002260	CS
GO:0033023	CT
GO:0035702	CU
GO:0036145	CV
GO:0061519	CW
GO:1990959	CX
GO:1990960	CY
GO:0001776	CZ
GO:0002201	DA
GO:0002202	DB
GO:0033153	DC
GO:0002681	DD
GO:0035708	DE
GO:0048289	DF
GO:0048290	DG
GO:0048291	DH
GO:0048292	DI
GO:0045190	DJ
GO:0002204	DK
GO:0002345	DL
GO:0002511	DM
GO:0002452	DN
GO:0071707	DO
GO:0071708	DP
GO:0033152	DQ
GO:0016447	DR
GO:0033151	DS
GO:0002562	DT
GO:0002564	DU
GO:0002563	DV
GO:0002207	DW
GO:0002206	DX
GO:0002565	DY
GO:0002205	DZ
GO:0016446	EA
GO:0002566	EB
GO:0002567	EC
GO:0002571	ED
GO:0002568	EE
GO:0002570	EF
GO:0002569	EG
GO:0002208	EH
GO:0016445	EI
GO:0002200	EJ
GO:0002259	EK
GO:0002264	EL
GO:0002265	EM
GO:0002267	EN
GO:0002272	EO
GO:0002271	EP
GO:0002561	EQ
GO:0002276	ER
GO:0002284	ES
GO:0002277	ET
GO:0043308	EU
GO:0002278	EV
GO:0043303	EW
GO:0002279	EX
GO:0002280	EY
GO:0002282	EZ
GO:0002281	FA
GO:0043312	FB
GO:0002283	FC
GO:0002275	FD
GO:0002289	FE
GO:0002288	FF
GO:0002298	FG
GO:0045063	FH
GO:0045064	FI
GO:0061470	FJ
GO:0072539	FK
GO:0042093	FL
GO:0002294	FM
GO:0002302	FN
GO:0002293	FO
GO:0002310	FP
GO:0002287	FQ
GO:0002303	FR
GO:0002311	FS
GO:0002290	FT
GO:0002291	FU
GO:0043379	FV
GO:0002292	FW
GO:0002309	FX
GO:0043316	FY
GO:0002286	FZ
GO:0002314	GA
GO:0002315	GB
GO:0002316	GC
GO:0002317	GD
GO:0002319	GE
GO:0002313	GF
GO:0002322	GG
GO:0002312	GH
GO:0002324	GI
GO:0002325	GJ
GO:0043320	GK
GO:0002323	GL
GO:0002285	GM
GO:0002366	GN
GO:0002263	GO
GO:0002432	GP
GO:0038096	GQ
GO:0002433	GR
GO:0002435	GS
GO:0002436	GT
GO:0002434	GU
GO:0002372	GV
GO:0002373	GW
GO:0002371	GX
GO:0001802	GY
GO:0001794	GZ
GO:0001795	HA
GO:0002445	HB
GO:0002446	HC
GO:0002447	HD
GO:0002558	HE
GO:0002448	HF
GO:0002559	HG
GO:0002560	HH
GO:0002444	HI
GO:0002370	HJ
GO:0002423	HK
GO:0002228	HL
GO:0001806	HM
GO:0035744	HN
GO:0035745	HO
GO:0035743	HP
GO:0002369	HQ
GO:0002411	HR
GO:0002424	HS
GO:0002403	HT
GO:0002458	HU
GO:0002456	HV
GO:0002368	HW
GO:0002402	HX
GO:0002451	HY
GO:0002455	HZ
GO:0016068	IA
GO:0097281	IB
GO:0097282	IC
GO:0016064	ID
GO:0019724	IE
GO:0002449	IF
GO:0002443	IG
GO:0002233	IH
GO:0002522	II
GO:0002536	IJ
GO:0045728	IK
GO:0002679	IL
GO:0001867	IM
GO:0001905	IN
GO:0006957	IO
GO:0006958	IP
GO:0006956	IQ
GO:0008228	IR
GO:0009864	IS
GO:0009866	IT
GO:0035011	IU
GO:0035010	IV
GO:0043299	IW
GO:0051214	IX
GO:0051215	IY
GO:0009616	IZ
GO:0051607	JA
GO:0002252	JB
GO:0002222	JC
GO:0002223	JD
GO:0002752	JE
GO:0002220	JF
GO:0035660	JG
GO:0035661	JH
GO:0002755	JI
GO:0035667	JJ
GO:0035666	JK
GO:0035669	JL
GO:0035668	JM
GO:0002756	JN
GO:0034130	JO
